"","id","price_day","f_property_type","f_neighbourhood","n_accommodates","n_bathrooms","n_minimum_nights","n_beds","n_review_scores_rating","n_number_of_reviews","n_bedrooms","d_instant_bookable","d_wifi","d_refrigerator","d_air_conditioning","d_baby","d_beach","d_stove","d_free_parking","d_office","d_coffee_maker","d_garden","d_gym"
"9515",663039341887206272,624,"rental","Beyoglu",3,1,1,2,5,6,1,"f","1","1","0","0","0","1","0","0","0","0","0"
"9516",663058594081224192,2476,"rental","Uskudar",6,2,3,3,4.86,14,2,"t","1","1","1","0","0","0","0","0","1","1","0"
"9517",663062737724031872,561,"rental","Esenyurt",2,1,6,1,4.83,0,1,"f","1","1","0","0","0","0","1","0","0","0","0"
"9518",663063195001807744,2844,"rental","Beyoglu",5,2,3,3,4.82,17,2,"t","1","1","1","0","0","1","0","0","0","0","0"
"9519",663074314006920960,936,"rental","Basaksehir",6,1,3,6,5,1,2,"t","1","1","1","0","0","1","1","0","1","1","0"
"9520",663085453821978624,4250,"rental","Beyoglu",6,2.5,2,3,5,2,3,"f","1","0","1","0","0","0","0","0","0","0","0"
"9521",663100452186608896,1028,"rental","Kadikoy",3,1,1,1,4.83,0,1,"f","1","1","0","0","1","1","1","0","0","0","0"
"9522",663111180381764096,1200,"rental","Kadikoy",2,1,3,3,5,7,1,"t","1","1","0","0","1","1","0","0","1","1","0"
"9523",663134917519429120,992,"rental","Esenyurt",5,2,3,2,4,3,2,"t","1","1","1","0","0","0","1","0","0","0","1"
"9524",663164919946856192,1400,"rental","Bahcelievler",3,1,3,2,5,1,1,"t","1","1","1","0","0","1","1","0","0","0","0"
"9525",663360237451465728,1300,"rental","Besiktas",2,1,3,1,5,1,1,"t","1","1","1","0","0","1","0","0","0","1","0"
"9526",663373723871682176,2427,"rental","Beyoglu",4,1,1,2,4.3,10,2,"t","1","1","0","0","0","0","0","0","1","0","0"
"9527",663432255696845952,1176,"apartment","Kagithane",4,1,2,1,5,9,1,"t","1","1","1","0","0","0","1","0","1","1","1"
"9528",663434602247235456,1300,"rental","Bahcelievler",2,1,1,1,5,3,1,"f","0","0","1","0","0","0","0","0","0","0","0"
"9529",663444349658637568,1907,"rental","Besiktas",3,1,5,1,4.8,10,1,"t","1","1","1","0","0","1","0","0","1","0","0"
"9530",663466745827064704,3275,"rental","Bakirkoy",4,1.5,1,1,5,2,1,"f","1","1","1","0","0","0","1","0","1","0","0"
"9531",663472569228272896,3288,"rental","Sisli",6,1,3,4,5,3,2,"t","1","1","0","0","0","1","1","0","0","0","0"
"9532",663493980001062528,739,"rental","Bahcelievler",2,1,4,1,4.86,7,1,"f","1","1","1","0","0","1","1","0","1","0","0"
"9533",663503436240978816,1812,"rental","Beyoglu",5,1,3,5,5,1,2,"t","1","1","1","0","0","0","0","0","0","0","0"
"9534",663508849179866752,1898,"rental","Beyoglu",2,1,1,1,4.83,0,1,"t","1","0","1","0","0","0","0","0","0","0","0"
"9535",663511000548218112,821,"rental","Fatih",4,1,5,2,5,2,1,"t","1","0","1","0","0","0","0","0","0","0","0"
"9536",663514672802533760,1123,"apartment","Kagithane",5,1,2,3,4.89,9,2,"f","1","1","0","1","0","1","0","0","1","0","0"
"9537",663516541709988608,1446,"rental","Atasehir",3,1,2,1,4.83,0,1,"f","1","0","1","0","0","0","1","0","0","0","0"
"9538",663520770105656192,5993,"rental","Beyoglu",5,1,2,2,4.83,0,2,"f","1","1","1","0","0","1","0","0","0","0","0"
"9539",663522339946027520,842,"rental","Avcilar",4,1,10,2,4.83,0,2,"t","1","0","1","0","0","0","1","0","0","0","0"
"9540",663527878709464576,1029,"rental","Esenyurt",5,2,20,3,5,1,2,"f","1","1","1","0","0","0","0","0","0","0","1"
"9541",663535732772558592,1100,"rental","Bakirkoy",6,1,10,4,4.83,0,1,"f","1","0","1","0","0","0","0","0","0","0","0"
"9542",663537904989653888,24857,"rental","Besiktas",4,3,3,2,5,1,2,"t","1","1","1","0","0","0","0","0","1","0","0"
"9543",663546395323348736,1000,"rental","Uskudar",2,1,3,1,4.4,5,1,"t","1","0","0","0","0","0","0","0","0","0","0"
"9544",663547031563131776,1688,"rental","Atasehir",3,1,2,2,4.83,0,1,"f","1","0","1","0","0","0","1","0","0","0","0"
